ico_name,ticker,platform,token,country,hardcap,softcap,raised,ih_hardcap,ih_softcap,ih_raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,date_ended
Blockonomics (ICO has been paused),BCK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.4,8.4,-,N/A,2018-08-15
ELIGMA,ELI,N/A,N/A,N/A,24000000 USD,3000000 USD,11377277 USD,2400000000,2400000000 USD,46%,-,HIGH,HIGH,-,-,N/A,Benchy,4.5,N/A,4.2,4.6,-,-,-,4.4,2018-05-08
WizeBit - Private Block Token Sale,WIZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,-,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,8.3,-,N/A,2018-10-27
Online,OIO,N/A,N/A,N/A,50000000 USD,5000000 USD,50000000 USD,N/A,N/A,100%,VERY HIGH,-,-,-,-,N/A,Benchy,4.4,N/A,4.0,4.3,-,-,-,4.2,2018-07-31
Õpet Foundation,,N/A,N/A,N/A,60000 ETH,10000 ETH,1385000 USD,N/A,6000000 ETH,0%,-,-,-,-,-,N/A,Benchy,4.3,N/A,4.3,3.5,4.0,9.6,-,4.0,2018-12-31
Miner Edge,MET,N/A,N/A,N/A,32000000 USD,1000000 USD,6208000 USD,N/A,N/A,100%,-,-,-,-,-,N/A,Benchy,1.0,N/A,1.0,1.0,1.9,9.6,-,1.9,2018-12-30
mCoin ICO,MCN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.5,N/A,-,N/A,2018-07-07
NEXO,NEXO,Ethereum,ERC-20,Switzerland,N/A,N/A,N/A,5250000000,5250000000 USD,100%,-,VERY HIGH,VERY HIGH,-,-,10,N/A,N/A,10,N/A,N/A,-,-,-,N/A,"Mar, 2018"
TraXion,TXN,Ethereum,ERC20,Philippines,50000000 USD,N/A,N/A,N/A,10000000 ETH,0%,VERY HIGH,VERY LOW,VERY LOW,-,-,10,Benchy,4.6,9,4.3,4.5,-,-,-,4.3,2018-06-15
DEEP AERO,DRONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,4.2,9.0,-,N/A,2018-07-31
Etheal,HEAL,Ethereum,ERC20,Estonia,10000000 USD,4800000 USD,820000 USD,1000000000,480000000 USD,20%,HIGH,HIGH,HIGH,-,-,8,Benchy,4.4,10,4.0,4.3,-,-,-,4.2,2018-07-22
AMICORUM.LIVE,AMI TOKEN,N/A,N/A,N/A,20000000 USD,3000000 USD,N/A,300000000,500000000 USD,60%,MEDIUM,HIGH,HIGH,-,-,N/A,Benchy,4.0,N/A,5.0,4.0,2.8,9.1,-,2.8,2018-08-31
Cryptoindex,CIX100,Ethereum,Utility,Malta,37000000 USD,3000000 USD,11037891 USD,3700000000,300000000 USD,26%,-,MEDIUM,MEDIUM,-,MEDIUM,8,Benchy,3.8,10,3.7,4.1,-,-,-,3.9,2018-12-01
Foresting HQ,PTON,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-10-10
EVE Coin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Hard cap100 000 000.00 EVE",N/A,LOW,LOW,LOW,VERY LOW,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-10-16
Globatalent ICO,,N/A,N/A,N/A,N/A,N/A,N/A,3500000000,500000000 USD,N/A,VERY HIGH,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,8.3,-,N/A,2018-06-30
BitRewards,BIT,N/A,N/A,N/A,15000000 USD,3000000 USD,6583400 USD,500000000,300000000 USD,64%,HIGH,VERY LOW,VERY LOW,-,-,N/A,Benchy,4.5,N/A,4.4,4.2,-,-,-,4.3,2018-05-31
ODEM,ODEM,Ethereum,ERC20,Switzerland,"180,000,000",N/A,4000000 USD,N/A,N/A,100%,VERY HIGH,HIGH,HIGH,-,-,8,Benchy,3.3,10,3.3,3.7,-,-,-,3.3,2018-03-19
NextPakk,PAKKA,Stellar,Stellar,USA,52800000 USD,1000000 USD,N/A,N/A,N/A,N/A,LOW,-,-,-,-,10,Benchy,4.6,10,4.4,4.6,4.4,9.6,-,4.4,2018-08-30
Typerium,TYPE,N/A,N/A,N/A,40000000 USD,4500000 USD,500000 USD,N/A,N/A,N/A,LOW,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.7,2018-07-23
Arbitao,ATAO,ATAO,ATAO,UK,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,-,6,Benchy,1.0,10,1.0,1.0,2.1,6.9,-,2.1,"Jul, 2018"
Midex,MDX,Ethereum,ERC20,Estonia,"75,000,000",N/A,22000000 USD,N/A,N/A,100%,HIGH,LOW,LOW,-,-,8,Benchy,4.8,5,4.5,4.6,4.5,7.1,4.4,4.5,2018-04-15
Jinbi,JNB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-12-18
MYDFS,MYDFS,Ethereum,ERC20,Ireland,20000000 USD,4000000 USD,N/A,2000000000,400000000 USD,N/A,VERY HIGH,LOW,LOW,-,-,10,Benchy,3.9,10,3.9,4.1,4.0,10.0,2.9,4.0,2018-11-16
EQUI,EQUITOKEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,VERY HIGH,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,6.3,-,N/A,2018-06-30
MYDFS,MYDFS,Ethereum,ERC20,Ireland,20000000 USD,4000000 USD,N/A,2000000000,400000000 USD,N/A,VERY HIGH,LOW,LOW,-,-,10,Benchy,3.9,10,3.9,4.1,4.0,10.0,2.9,4.0,2018-11-16
Cryptosolartech,CST,N/A,N/A,N/A,"71,400,000 EUR","983,733 EUR",68280620 USD,98373300,7198373300 USD,95%,VERY HIGH,HIGH,HIGH,-,-,N/A,Benchy,5.0,N/A,5.0,4.0,-,-,-,3.4,2018-07-14
HOMELEND,HMD,Ethereum,ERC20,Switzerland,30000000 USD,5000000 USD,N/A,500000000,3000000000 USD,80%,VERY HIGH,LOW,LOW,-,-,6,Benchy,4.9,9,4.4,4.7,4.1,7.7,-,4.1,2018-09-30
AVINOC,AVINOC,N/A,N/A,N/A,15000000 USD,8000000 USD,,N/A,N/A,N/A,VERY LOW,VERY HIGH,VERY HIGH,VERY LOW,HIGH,N/A,Benchy,3.7,N/A,3.4,3.8,-,-,-,3.7,2018-07-31
WAR FIELD,GLDR,N/A,N/A,N/A,12000000 USD,3000000 USD,12000000 USD,N/A,N/A,100%,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.7,9.1,-,3.7,2018-11-15
TokenStars TEAM,TEAM,N/A,N/A,N/A,N/A,N/A,N/A,1500000000,500000000 USD,98%,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,N/A,4.2,N/A,2018-03-28
Sharpay,SHRP,Ethereum,ERC20,Belize,45000 ETH,3000000 USD,5973900 USD,N/A,N/A,100%,VERY HIGH,MEDIUM,MEDIUM,-,-,8,Benchy,4.6,10,4.5,4.7,-,-,-,4.6,2018-05-31
Omnitude,ECOM,N/A,N/A,N/A,15700000 USD,10000000 USD,8000000 USD,500000000,1000000000 USD,80%,LOW,HIGH,HIGH,-,-,N/A,Benchy,4.5,N/A,4.2,4.4,-,-,-,4.3,2018-05-31
CGCX,CGX,Ethereum,ERC20,Singapore,"1,000,000,000",5000000 USD,8809328 USD,N/A,500000000 USD,373%,VERY HIGH,VERY HIGH,VERY HIGH,-,-,10,Benchy,N/A,10,N/A,N/A,-,-,-,4.0,2018-07-30
Treon,TXO,Ethereum,ERC20,Estonia,25000000 USD,4000000 USD,1137000 USD,N/A,N/A,100%,VERY HIGH,VERY HIGH,VERY HIGH,-,-,10,Benchy,3.2,10,3.2,2.7,3.5,9.8,-,3.5,2018-12-31
CubeChain,QUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,6.1,-,N/A,2018-10-05
