ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,ih_end_date

Smart City Enterprise,SMART CITY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.0,7.3,2.2,N/A,2018-09-02
BitAcross (BCS),,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-05-22
Duber,DBR,Ethereum,66 DBR,USA,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,-,-,-,-,1,N/A,N/A,4,N/A,N/A,2.9,3.8,-,N/A,2018-01-19
Real Property Token,RPT,N/A,N/A,N/A,100,000,000,5,000,000,800000 USD,N/A,50000000,3%,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,Benchy,3.0,N/A,3.0,4.0,2.7,6.6,3.0,2.7,2018-01-10
Game Gold,GGT,N/A,N/A,N/A,35000000 USD,2500000 USD,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,5.0,N/A,5.0,5.0,2.5,4.8,-,2.5,2018-07-01
ZEUS,,Ethereum,ERC20,Ukraine,N/A,N/A,Unknown,N/A,16509300,N/A,VERY HIGH,-,-,-,-,7,Benchy,3.0,10,3.0,4.0,2.8,7.4,3.6,2.8,2018-01-25
FEEDCHAIN,FEED,Ethereum,ERC20,Switzerland,29400 ETH,840 ETH,Unknown,N/A,N/A,N/A,MEDIUM,MEDIUM,MEDIUM,-,VERY LOW,9,Benchy,N/A,10,N/A,N/A,2.6,8.8,-,2.6,2018-08-31
CODSET ICO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,2.8,-,N/A,2018-06-20
Rhovit,RBIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,VERY HIGH,VERY HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.5,7.7,2.8,N/A,Nov, 2018
BBiller,,N/A,N/A,Australia,220000000 USD,5000000 USD,Unknown,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,1,Benchy,2.5,10,3.2,3.3,2.5,3.7,1.8,2.5,2018-12-31
ResumeChain,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-05-09
RAZOOM ICO,RZM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.4,4.9,-,N/A,2018-02-28
Ziggurat Token,,N/A,N/A,N/A,53000000 USD,N/A,10000000 USD,N/A,N/A,N/A,VERY HIGH,-,-,-,-,N/A,Benchy,3.0,N/A,3.0,3.0,-,-,-,2.8,2018-04-19
Rentything,RTC,Ethereum,ERC20,Hong Kong,3500 ETH,350 ETH,N/A,N/A,N/A,N/A,VERY LOW,LOW,LOW,-,-,6,Benchy,3.0,1,2.0,2.0,2.6,5.2,3.2,2.6,2018-03-28
PriorityEx (PreICO),PYX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-03-31
FIC,FIC,N/A,N/A,N/A,125000000 USD,35000000 USD,1224803 USD,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.0,8.4,2.7,3.0,2018-04-09
Crystium,CRY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-07-04
