ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
Lamden,TAU,N/A,N/A,N/A,10000000 USD,N/A,10000000 USD,LOW,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,4.4,N/A,4.2,4.2,-,-,-,3.6
ATFS Lab,ATFS,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Green Power Exchange,GPX,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.0,7.0,-,N/A
BITEX,XBX,Ethereum,EIP-20,Gibraltar,N/A,"1,000,000",2760000 USD,HIGH,VERY HIGH,VERY HIGH,-,HIGH,8,Benchy,N/A,9,N/A,N/A,-,-,-,3.0
ALLUXE | Decentralized Luxury Platform,LXC (LUXECOIN),N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,HIGH,HIGH,VERY LOW,LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.5,7.7,-,N/A
Taurus,,Ethereum,ERC20,United States,20000 ETH,N/A,Unknown,-,-,-,-,VERY LOW,7,Benchy,4.0,10,4.0,4.0,3.9,7.9,-,3.9
RedsunCrypto,RSC,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Hero,HERO,N/A,N/A,N/A,"12,000,000 EUR",N/A,2000000600000000000 ETH,VERY HIGH,MEDIUM,MEDIUM,-,LOW,N/A,Benchy,4.5,N/A,4.0,4.0,-,-,-,3.5
Gizer,GZR,Ethereum,ERC20,USA,N/A,N/A,N/A,VERY HIGH,-,-,-,-,3,N/A,N/A,10,N/A,N/A,-,-,-,N/A
Lamden,TAU,N/A,N/A,N/A,10000000 USD,N/A,10000000 USD,LOW,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,4.4,N/A,4.2,4.2,-,-,-,3.6
ATFS Lab,ATFS,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Engagement Token,EGT,N/A,N/A,N/A,45000 ETH,N/A,19000000 USD,-,-,-,-,VERY LOW,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.8
CashBag (PreICO),CBC,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.3,7.5,3.9,N/A
CRIP.TO,CRIP,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Green Power Exchange,GPX,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.0,7.0,-,N/A
Swace,SWA,Ethereum,ERC20,Lithuania,2468860 USD,500000 USD,Unknown,MEDIUM,VERY HIGH,VERY HIGH,MEDIUM,VERY LOW,9,Benchy,4.5,10,4.4,4.6,-,-,-,4.5
BITEX,XBX,Ethereum,EIP-20,Gibraltar,N/A,"1,000,000",2760000 USD,HIGH,VERY HIGH,VERY HIGH,-,HIGH,8,Benchy,N/A,9,N/A,N/A,-,-,-,3.0
ALLUXE | Decentralized Luxury Platform,LXC (LUXECOIN),N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,HIGH,HIGH,VERY LOW,LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.5,7.7,-,N/A
Taurus,,Ethereum,ERC20,United States,20000 ETH,N/A,Unknown,-,-,-,-,VERY LOW,7,Benchy,4.0,10,4.0,4.0,3.9,7.9,-,3.9
RedsunCrypto,RSC,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Silent,SLNT,Ethereum,ERC20,Switzerland,"28,000,000 CHF","3,000,000 CHF",Unknown,-,-,-,-,VERY LOW,5,Benchy,4.0,10,3.8,2.2,3.4,7.2,-,3.4
NapoleonX,,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,-,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Hurify,,N/A,N/A,N/A,25000 ETH,10000 ETH,21731500 USD,VERY LOW,HIGH,HIGH,-,-,N/A,Benchy,3.7,N/A,3.6,4.6,-,-,-,4.0
Blocksquare,BST,Ethereum,ERC20,Slovenia,N/A,N/A,N/A,LOW,VERY HIGH,VERY HIGH,-,LOW,9,N/A,N/A,9,N/A,N/A,3.9,8.8,3.2,N/A
Ponder Gold,PON,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.8,8.1,3.9,N/A
KStarCoin ICO,KSTARCOIN,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,7.5,-,N/A
Simply Vital Health ICO,,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,3.2,8.8,4.0,N/A
Cashwolf,,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
CryptoWorld,CWV,N/A,N/A,N/A,40000 ETH,N/A,Unknown,-,HIGH,HIGH,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.7
Game Loot Network,,N/A,N/A,N/A,7000000 USD,N/A,Unknown,MEDIUM,HIGH,HIGH,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.8,7.7,-,2.8
Wixlar,WIX,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
NurseToken ICO,NUR,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY HIGH,VERY HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,8.8,-,N/A
FXPay,FXP,Ethereum,ERC20,UK,90000 ETH,15000000 USD,15000000 USD,-,VERY HIGH,VERY HIGH,VERY LOW,MEDIUM,10,Benchy,N/A,10,N/A,N/A,-,-,-,3.9
Bailsman,BAILS,Ethereum,EIP20,Estonia,"60,000,000 EUR","10,000,000 EUR",Unknown,-,-,-,MEDIUM,LOW,10,Benchy,3.9,10,3.0,3.6,3.4,9.5,-,3.4
IonChain,IONC,Ethereum,ERC20,Finland,N/A,N/A,N/A,-,HIGH,HIGH,LOW,-,8,N/A,N/A,10,N/A,N/A,2.9,7.7,-,N/A
Cashwolf,,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Game Loot Network,,N/A,N/A,N/A,7000000 USD,N/A,Unknown,MEDIUM,HIGH,HIGH,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.8,7.7,-,2.8
Wixlar,WIX,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
FXPay,FXP,Ethereum,ERC20,UK,90000 ETH,15000000 USD,15000000 USD,-,VERY HIGH,VERY HIGH,VERY LOW,MEDIUM,10,Benchy,N/A,10,N/A,N/A,-,-,-,3.9
IonChain,IONC,Ethereum,ERC20,Finland,N/A,N/A,N/A,-,HIGH,HIGH,LOW,-,8,N/A,N/A,10,N/A,N/A,2.9,7.7,-,N/A
WhenHub,WHEN,N/A,N/A,N/A,40000000 USD,35000000 USD,4000000 USD,-,-,-,-,-,N/A,Benchy,4.0,N/A,4.7,4.3,4.0,5.6,1.7,4.0
Evident proof ICO,EPT,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,3.1,7.6,-,N/A
Rocati Limited,ROCATI,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.1,2.4,-,N/A
Prontapay,,Ethereum,ER223,England,15000000 USD,500000 USD,N/A,VERY LOW,HIGH,HIGH,VERY LOW,VERY LOW,8,Benchy,4.2,10,4.3,4.5,4.0,8.4,-,4.0
Planport,PLAN,Ethereum,ERC20,UK,N/A,N/A,N/A,-,-,-,-,-,8,N/A,N/A,10,N/A,N/A,4.0,8.6,-,N/A
Kryptono Exchange,KNOW,N/A,N/A,N/A,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Tita Project,TTN,N/A,N/A,N/A,15000000 USD,500000 USD,Unknown,VERY HIGH,VERY LOW,VERY LOW,VERY HIGH,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.4,7.7,-,3.4
eLYQD,LYQD,Ethereum,ERC20,USA,15000000 USD,2000000 USD,1835000 USD,-,MEDIUM,MEDIUM,-,-,7,Benchy,N/A,8,N/A,N/A,3.5,7.7,-,3.5
CUPRUM TOKEN,CUPRUM,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,6.0,-,N/A
PARKGENE - Peer to Peer Parking on Blockchain,GENE,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,VERY HIGH,LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
GlobCoin,GCP,Ethereum,ERC20,Switzerland,10000 ETH,N/A,Unknown,VERY HIGH,LOW,LOW,VERY HIGH,VERY LOW,7,Benchy,4.8,10,4.0,4.0,4.1,8.6,3.9,4.1
Unilot (PreICO),,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,-,-,MEDIUM,-,N/A,N/A,N/A,N/A,N/A,N/A,3.6,7.9,3.9,N/A
Lightcash Blockchain System,LCCT,N/A,N/A,N/A,N/A,N/A,Unknown,-,HIGH,HIGH,-,-,N/A,Benchy,4.1,N/A,3.6,3.5,3.5,7.8,4.2,3.5
OFNOG,OFNOG,Ethereum,ERC20,United Kingdom,25000000 USD,15000000 USD,15000000 USD,VERY HIGH,LOW,LOW,VERY HIGH,-,7,Benchy,3.6,10,2.8,3.6,3.6,7.4,-,3.6
Rocati Limited,ROCATI,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.1,2.4,-,N/A
Prontapay,,Ethereum,ER223,England,15000000 USD,500000 USD,N/A,VERY LOW,HIGH,HIGH,VERY LOW,VERY LOW,8,Benchy,4.2,10,4.3,4.5,4.0,8.4,-,4.0
Planport,PLAN,Ethereum,ERC20,UK,N/A,N/A,N/A,-,-,-,-,-,8,N/A,N/A,10,N/A,N/A,4.0,8.6,-,N/A
Kryptono Exchange,KNOW,N/A,N/A,N/A,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Tita Project,TTN,N/A,N/A,N/A,15000000 USD,500000 USD,Unknown,VERY HIGH,VERY LOW,VERY LOW,VERY HIGH,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.4,7.7,-,3.4
eLYQD,LYQD,Ethereum,ERC20,USA,15000000 USD,2000000 USD,1835000 USD,-,MEDIUM,MEDIUM,-,-,7,Benchy,N/A,8,N/A,N/A,3.5,7.7,-,3.5
CUPRUM TOKEN,CUPRUM,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,6.0,-,N/A
Viva Network,VIVA,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,VERY HIGH,VERY HIGH,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,9.8,-,N/A
DADI,DADI,N/A,N/A,N/A,28750000 USD,1000000 USD,28750000 USD,-,VERY LOW,VERY LOW,-,-,N/A,Benchy,2.9,N/A,3.2,2.9,-,-,-,3.0
Scrinium,SCR,Ethereum,ERC20,Cyprus,N/A,N/A,6000000 USD,HIGH,LOW,LOW,-,-,8,Benchy,3.3,10,2.7,3.1,3.1,8.3,3.8,3.1
VICTORTOKEN (VIC),,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.4,5.5,-,N/A
Hybrid Betting,HYB,N/A,N/A,N/A,7000000 USD,5000000 USD,Unknown,MEDIUM,-,-,-,-,N/A,Benchy,4.0,N/A,3.7,4.0,3.5,7.1,3.4,3.5
DomusCoins,,Ethereum,ERC20,UK,10000000 USD,1000000 USD,1000000 USD,HIGH,VERY LOW,VERY LOW,VERY LOW,VERY LOW,8,Benchy,N/A,10,N/A,N/A,-,-,-,3.3
Viva Network,VIVA,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,VERY HIGH,VERY HIGH,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,9.8,-,N/A
Cryptons Game,QST,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,LOW,LOW,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.2,8.6,-,N/A
Code of Talent,CODE,N/A,N/A,N/A,18500000 USD,6000000 USD,Unknown,-,MEDIUM,MEDIUM,VERY LOW,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.6,8.8,-,2.6
iCash,ICASH,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,LOW,N/A,Benchy,5.0,N/A,3.0,5.0,2.4,7.1,-,2.4
"Hey, Be Well",HEY,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.8,7.4,-,N/A
CoTrader,COT,N/A,N/A,N/A,1200 ETH,400 ETH,1000000 USD,VERY LOW,VERY LOW,VERY LOW,VERY LOW,HIGH,N/A,Benchy,4.3,N/A,4.1,4.2,-,-,-,4.2
Lamoneda,LMDA,Ethereum,ERC20,Netherlands,10000000 USD,2000000 USD,Unknown,-,HIGH,HIGH,LOW,-,10,Benchy,N/A,10,N/A,N/A,-,-,-,2.9
YINC,YINC,Ethereum,ERC20,USA,N/A,N/A,N/A,-,LOW,LOW,MEDIUM,LOW,7,N/A,N/A,10,N/A,N/A,2.7,8.3,-,N/A
Philanthor,PTH,Ethereum,ERC20,USA,20000000 USD,N/A,Unknown,LOW,MEDIUM,MEDIUM,LOW,VERY LOW,8,Benchy,5.0,10,4.0,4.0,3.8,8.6,-,3.8
Scrinium,SCR,Ethereum,ERC20,Cyprus,N/A,N/A,6000000 USD,HIGH,LOW,LOW,-,-,8,Benchy,3.3,10,2.7,3.1,3.1,8.3,3.8,3.1
NTOK,,Ethereum,ERC20,N/A,15000000 USD,N/A,3000000 USD,VERY HIGH,-,-,-,LOW,8,Benchy,4.2,9,3.7,4.1,-,-,-,3.6
VICTORTOKEN (VIC),,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.4,5.5,-,N/A
Helbiz (PreICO),HBZ,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
ARQUTE G.A.S.,AGAS TOKEN,N/A,N/A,N/A,20000 ETH,N/A,Unknown,-,VERY LOW,VERY LOW,MEDIUM,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.9,5.9,-,2.9
BitFence,HNY,Ethereum,ERC20,N/A,50000000 USD,2000 ETH,Unknown,LOW,MEDIUM,MEDIUM,LOW,VERY LOW,8,Benchy,5.0,9,5.0,5.0,3.9,7.9,-,3.9
Liquidity.Network ICO,LIQUIDITY.NETWORK,N/A,N/A,N/A,N/A,N/A,N/A,-,HIGH,HIGH,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Cryptons Game,QST,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,LOW,LOW,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.2,8.6,-,N/A
SAAT COIN,SAAT,N/A,N/A,N/A,10000000 USD,3500000 USD,N/A,-,VERY LOW,VERY LOW,VERY LOW,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.3,3.3,-,2.3
Blinked.live,BLKD,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,4.3,8.1,-,N/A
PropPush,PSH,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,LOW,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
FansUnite,FAN,N/A,N/A,N/A,12000000 USD,5000000 USD,N/A,MEDIUM,HIGH,HIGH,-,VERY LOW,5,Benchy,N/A,1,N/A,N/A,3.9,4.9,-,3.9
Expercoin,EXPERCOIN,Ethereum,ERC20,Cayman Islands,26500000 USD,N/A,N/A,VERY HIGH,HIGH,HIGH,VERY HIGH,LOW,10,Benchy,4.0,10,3.7,3.7,3.8,9.5,-,3.8
ACESO Internet Security,ASO,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.9,7.9,-,N/A
Hackspace Capital,HAC,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
StreamSpace ICO,SSH,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.2,6.5,3.9,N/A
Bubbled (BBL),,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.8,7.7,-,N/A
Taklimakan Network,TKLN,N/A,N/A,N/A,27500000 USD,5000000 USD,Unknown,VERY HIGH,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,3.3,N/A,3.2,3.4,-,-,-,3.4
Altair VR ICO,ALVR,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,HIGH,HIGH,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.3,8.6,3.3,N/A
Enkidu,ENK,Ethereum,ERC20,Singapore,30000000 USD,5000000 USD,373000 USD,VERY HIGH,HIGH,HIGH,MEDIUM,LOW,8,Benchy,4.2,10,4.1,4.3,-,-,-,4.1
ROSCAcoin,RCA,Ethereum,ERC20,Singapore,N/A,N/A,Unknown,VERY HIGH,LOW,LOW,-,VERY LOW,6,Benchy,N/A,1,N/A,N/A,2.1,5.1,-,2.1
Mobilum,MBM,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
GameMarketToken,T4GM,Ethereum,ERC20,United Kingdom,N/A,N/A,N/A,-,-,-,VERY LOW,VERY LOW,1,Benchy,N/A,1,N/A,N/A,-,-,-,2.7
Nickelcoin,NKL,Ethereum,ERC20,Australia,12000000 USD,1300000 USD,Unknown,VERY LOW,-,-,VERY LOW,VERY LOW,3,Benchy,3.0,10,3.0,2.5,2.5,6.5,-,2.5
WINIOTA ICO,WIT,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,-,-,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.2,9.1,-,N/A
CrypStock,ICS,Ethereum,ERC20,Israel,59000000 USD,1000000 USD,N/A,-,-,-,MEDIUM,VERY LOW,5,Benchy,4.0,10,5.0,5.0,4.0,7.2,-,4.0
Hiway,WAY,Ethereum,ERC20,Netherlands,3000000 USD,N/A,Unknown,-,LOW,LOW,VERY LOW,LOW,8,Benchy,5.0,10,4.3,4.3,4.0,8.9,-,4.0
FansUnite,FAN,N/A,N/A,N/A,12000000 USD,5000000 USD,N/A,MEDIUM,HIGH,HIGH,-,VERY LOW,5,Benchy,N/A,1,N/A,N/A,3.9,4.9,-,3.9
StreamSpace ICO,SSH,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.2,6.5,3.9,N/A
Taklimakan Network,TKLN,N/A,N/A,N/A,27500000 USD,5000000 USD,Unknown,VERY HIGH,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,3.3,N/A,3.2,3.4,-,-,-,3.4
Bubbled (BBL),,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.8,7.7,-,N/A
Asset Allocation Token,AAT,N/A,N/A,N/A,27000000 USD,5000000 USD,N/A,-,LOW,LOW,VERY LOW,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.3,9.1,-,3.3
ACESO Internet Security,ASO,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.9,7.9,-,N/A
Baikalika,BKL,Ethereum,ERC20,N/A,40000000 USD,10000000 USD,N/A,-,LOW,LOW,-,-,7,Benchy,3.9,8,4.1,4.0,3.9,7.5,4.3,3.9
IP Sharing Exchange,IPSX,N/A,N/A,N/A,N/A,N/A,8015720950000000000 ETH,VERY HIGH,LOW,LOW,VERY HIGH,LOW,N/A,Benchy,4.0,N/A,5.0,4.0,-,-,-,3.0
Chek,CHEK,Waves,Wave,Chile,N/A,N/A,N/A,HIGH,-,-,HIGH,-,10,N/A,N/A,3,N/A,N/A,3.4,7.0,3.4,N/A
CrowdCoinage ICO,CCOS,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,VERY LOW,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
BlockBits,BBX,Ethereum,ERC20,Romania,35000 ETH,5000 ETH,Unknown,VERY LOW,VERY LOW,VERY LOW,VERY LOW,VERY LOW,6,Benchy,3.7,10,3.9,4.5,3.8,7.6,3.6,3.8
Fox Trading,,N/A,N/A,N/A,4500000 USD,500000 USD,300000 USD,VERY HIGH,-,-,VERY HIGH,-,N/A,Benchy,4.2,N/A,4.0,3.7,-,-,-,3.9
Chek,CHEK,Waves,Wave,Chile,N/A,N/A,N/A,HIGH,-,-,HIGH,-,10,N/A,N/A,3,N/A,N/A,3.4,7.0,3.4,N/A
MyShield,,Ethereum,ERC20,N/A,44000000 USD,N/A,N/A,VERY HIGH,LOW,LOW,VERY HIGH,VERY LOW,6,Benchy,N/A,9,N/A,N/A,2.7,6.8,-,2.7
TrustFunding ICO,,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
LMediBit,MDBS,Ethereum,SecuritySTO,UK,N/A,N/A,N/A,-,HIGH,HIGH,-,VERY LOW,3,N/A,N/A,10,N/A,N/A,N/A,N/A,-,N/A
Cryptov8,CRV8,Ethereum,ERC20,UK,156250 ETH,15625 ETH,Unknown,-,-,-,-,-,8,Benchy,3.4,10,3.1,3.8,3.7,8.4,-,3.7
WDX,WDX,Ethereum,ERC827,Bulgaria,12500000 USD,1500000 USD,N/A,VERY HIGH,-,-,HIGH,-,7,Benchy,N/A,10,N/A,N/A,3.7,7.9,-,3.7
GraphenTech,77G,Ethereum,ERC20,Netherlands,N/A,N/A,N/A,LOW,VERY LOW,VERY LOW,MEDIUM,-,8,N/A,N/A,10,N/A,N/A,3.4,8.6,-,N/A
Investor's Gold,,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
BlocVehicle,VCL,Ethereum,ERC20,Singapore,49333 ETH,2000 ETH,Unknown,-,-,-,-,-,8,Benchy,N/A,10,N/A,N/A,3.8,8.9,3.5,3.8
FReeStart,,Ethereum,ERC20,UK,15000000 USD,500000 USD,3400000 USD,-,-,-,-,-,5,Benchy,N/A,10,N/A,N/A,3.9,7.2,-,3.9
CrowdCoinage ICO,CCOS,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,-,-,VERY LOW,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Fox Trading,,N/A,N/A,N/A,4500000 USD,500000 USD,300000 USD,VERY HIGH,-,-,VERY HIGH,-,N/A,Benchy,4.2,N/A,4.0,3.7,-,-,-,3.9
MyShield,,Ethereum,ERC20,N/A,44000000 USD,N/A,N/A,VERY HIGH,LOW,LOW,VERY HIGH,VERY LOW,6,Benchy,N/A,9,N/A,N/A,2.7,6.8,-,2.7
LILI,LIL,N/A,"Available for sale:25,200,000 LIL (70%)",N/A,20000 ETH,N/A,N/A,-,MEDIUM,MEDIUM,VERY LOW,VERY LOW,4,Benchy,N/A,10,N/A,N/A,2.9,6.5,-,2.9
WDX,WDX,Ethereum,ERC827,Bulgaria,12500000 USD,1500000 USD,N/A,VERY HIGH,-,-,HIGH,-,7,Benchy,N/A,10,N/A,N/A,3.7,7.9,-,3.7
Investor's Gold,,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
FReeStart,,Ethereum,ERC20,UK,15000000 USD,500000 USD,3400000 USD,-,-,-,-,-,5,Benchy,N/A,10,N/A,N/A,3.9,7.2,-,3.9
VISO,VITO,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,LOW,LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.7,8.4,4.8,N/A
botchain,,Ethereum,ERC20,USA,40000000 USD,15000000 USD,N/A,-,LOW,LOW,-,MEDIUM,7,Benchy,4.3,10,3.8,3.9,3.9,7.2,-,3.9
Lendingblock ICO,LND,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,MEDIUM,MEDIUM,HIGH,LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Blockchain Terminal,BCTT,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY HIGH,VERY HIGH,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.7,8.6,-,N/A
Alchemy,AFI,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.4,8.1,-,N/A
VoltGo,VGO,Ethereum,ERC-20,Estonia,N/A,N/A,N/A,-,VERY LOW,VERY LOW,VERY LOW,-,1,N/A,N/A,6,N/A,N/A,N/A,4.3,-,N/A
Contract Vault (VLT),VLT,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,VERY LOW,VERY LOW,VERY HIGH,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.4,9.1,-,N/A
Let Bet,LBT,N/A,N/A,N/A,"84,000,000","3,000,000",Unknown,MEDIUM,MEDIUM,MEDIUM,MEDIUM,VERY LOW,N/A,Benchy,3.0,N/A,3.0,3.2,3.0,8.4,3.5,3.0
