ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
JSEcoin,JSE,N/A,N/A,N/A,"10,000,000,000",N/A,111500 USD,-,MEDIUM,MEDIUM,HIGH,LOW,N/A,Benchy,4.0,N/A,3.5,4.4,-,-,-,4.0
WatermelonBlock,WMB,NEM,"NEM, ERC20",Singapore,8000000 USD,3500000 USD,3500000 USD,-,MEDIUM,MEDIUM,HIGH,LOW,8,Benchy,4.3,10,3.4,4.4,-,-,-,4.0
Parkade,PRKC,N/A,N/A,N/A,120000000 USD,3000000 USD,Unknown,-,MEDIUM,MEDIUM,-,LOW,N/A,Benchy,N/A,N/A,N/A,N/A,2.7,8.5,-,2.7
Medicalchain,MEDTOKEN,Ethereum,ERC20,UK,N/A,N/A,24000000 USD,-,VERY HIGH,VERY HIGH,-,MEDIUM,8,Benchy,4.3,7.3,4.0,4.4,4.2,7.9,4.2,4.2
YourBlock (PreICO),YBK,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,VERY HIGH,VERY HIGH,VERY LOW,-,N/A,N/A,N/A,N/A,N/A,N/A,3.8,8.4,4.2,N/A
ImmVRse,IMV,Ethereum,ERC20,UK,10000 ETH,N/A,Unknown,VERY HIGH,HIGH,HIGH,LOW,LOW,9,Benchy,4.5,9,4.5,4.5,-,-,-,4.3
Fishcoin,,N/A,N/A,N/A,40000 ETH,N/A,Unknown,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,VERY LOW,8,Benchy,N/A,10,N/A,N/A,3.8,6.2,-,3.8
Daox,DXC,Ethereum,ERC20,United Arab Emirates,20000 ETH,3000 ETH,Unknown,MEDIUM,VERY HIGH,VERY HIGH,MEDIUM,MEDIUM,10,Benchy,4.5,10,3.8,4.3,-,-,-,4.2
BRAVO Pay,BVO,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,4.2,9.0,4.1,N/A
PLENTIX,REFER,Ethereum,ERC20,Australia,24000000 USD,3000000 USD,N/A,MEDIUM,-,-,MEDIUM,LOW,9,Benchy,4.5,10,4.1,4.3,4.1,9.1,-,4.1
Photochain,PHT,Ethereum,ERC20,Estonia,"180,000,000","165,723,285",Unknown,VERY HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,10,Benchy,4.7,10,4.1,4.4,4.3,9.6,-,4.3
Rise Housing,RSE,N/A,N/A,N/A,40000 ETH,20000 ETH,Unknown,LOW,VERY LOW,VERY LOW,LOW,VERY LOW,N/A,Benchy,N/A,N/A,N/A,N/A,2.9,7.2,-,2.9
Elysian,ELY,N/A,N/A,N/A,7000000 USD,3000000 USD,7000000 USD,MEDIUM,MEDIUM,MEDIUM,-,VERY LOW,N/A,Benchy,4.6,N/A,4.2,4.5,-,-,-,4.3
Marginless,MRS,N/A,N/A,N/A,21000 ETH,4000 ETH,4998150 USD,-,HIGH,HIGH,LOW,LOW,N/A,Benchy,3.4,N/A,3.2,3.6,-,-,-,3.5
Sapien Network Inc.,SPN,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,VERY HIGH,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
JET8 ICO,J8T,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
AgroTechFarm ICO,,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,LOW,LOW,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
UbiatarPlay ICO,UAC,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,4.3,7.2,4.2,N/A
PLENTIX,REFER,Ethereum,ERC20,Australia,24000000 USD,3000000 USD,N/A,MEDIUM,-,-,MEDIUM,LOW,9,Benchy,4.5,10,4.1,4.3,4.1,9.1,-,4.1
Rise Housing,RSE,N/A,N/A,N/A,40000 ETH,20000 ETH,Unknown,LOW,VERY LOW,VERY LOW,LOW,VERY LOW,N/A,Benchy,N/A,N/A,N/A,N/A,2.9,7.2,-,2.9
AgentMile,ESTATE,Ethereum,ERC20,Estonia,20000000 USD,1000000 USD,18544627 USD,MEDIUM,-,-,MEDIUM,MEDIUM,10,Benchy,4.0,10,3.8,4.2,-,-,-,4.0
